Current,R_R,R_G,R_B,R_L,G_R,G_G,G_B,G_L,B_R,B_G,B_B,B_L
213,27043.199,6880.000,20.800,87.118,7123.200,26352.000,3634.800,171.536,1056.000,8588.000,27939.600,195.650
214,27033.600,6900.000,31.200,87.531,7161.600,26436.000,3593.200,171.948,1036.800,8624.000,28085.199,196.235
215,27225.600,6916.000,26.000,87.737,7161.600,26472.000,3666.000,172.421,1056.000,8640.000,28173.600,196.665
216,27225.600,6928.000,20.800,88.081,7161.600,26560.000,3655.600,172.903,1056.000,8640.000,28210.000,197.594
217,27360.000,6960.000,36.400,88.434,7209.600,26592.000,3645.200,173.350,1056.000,8712.000,28324.400,198.067
218,27436.801,6960.000,36.400,88.821,7200.000,26652.000,3697.200,173.772,1084.800,8756.000,28423.199,198.832
219,27552.000,6996.000,26.000,89.105,7248.000,26736.000,3686.800,174.124,1056.000,8776.000,28516.801,199.271
220,27628.801,7004.000,36.400,89.397,7228.800,26796.000,3738.800,174.812,1036.800,8784.000,28537.600,199.726
221,27763.199,7056.000,31.200,89.879,7228.800,26832.000,3733.600,175.113,1065.600,8828.000,28626.000,200.655
222,27840.000,7072.000,36.400,90.051,7286.400,26924.000,3749.200,175.552,1084.800,8848.000,28631.199,201.197
223,27868.801,7092.000,36.400,90.455,7324.800,26972.000,3723.200,176.008,1094.400,8876.000,28792.400,201.438
224,28032.000,7112.000,31.200,90.764,7257.600,27084.000,3790.800,176.343,1094.400,8912.000,28776.801,201.911
225,28080.000,7104.000,31.200,91.117,7334.400,27136.000,3801.200,176.842,1104.000,8924.000,28984.801,202.616
226,28204.801,7168.000,36.400,91.478,7353.600,27168.000,3796.000,177.470,1075.200,8976.000,28990.000,203.270
227,28300.801,7180.000,41.600,91.702,7372.800,27224.000,3811.600,177.590,1094.400,9000.000,29042.000,203.889
228,28348.801,7204.000,36.400,92.003,7372.800,27312.000,3842.800,178.183,1094.400,9008.000,29182.400,204.207
229,28492.801,7220.000,31.200,92.467,7411.200,27396.000,3853.200,178.708,1094.400,9056.000,29291.600,204.852
230,28550.400,7244.000,26.000,92.811,7401.600,27428.000,3848.000,178.966,1123.200,9076.000,29307.199,205.454
231,28598.400,7260.000,46.800,92.992,7449.600,27500.000,3889.600,179.525,1113.600,9112.000,29395.600,206.280
232,28732.801,7292.000,36.400,93.319,7440.000,27560.000,3894.800,179.955,1104.000,9128.000,29473.600,206.443
233,28790.400,7292.000,31.200,93.585,7459.200,27528.000,3905.200,180.299,1113.600,9164.000,29582.801,207.165
234,28963.199,7340.000,41.600,94.050,7488.000,27644.000,3915.600,180.686,1132.800,9180.000,29530.801,207.828
235,29030.400,7336.000,36.400,94.368,7507.200,27748.000,3946.800,181.185,1142.400,9232.000,29744.000,208.490
236,29068.801,7364.000,36.400,94.720,7536.000,27776.000,3957.200,181.563,1132.800,9256.000,29780.400,209.092
237,29222.400,7372.000,36.400,95.125,7507.200,27872.000,3983.200,182.105,1132.800,9288.000,29894.801,209.745
238,29203.199,7392.000,26.000,95.331,7526.400,27904.000,3967.600,182.389,1152.000,9308.000,29957.199,210.124
239,29337.600,7428.000,46.800,95.641,7584.000,27968.000,3972.800,182.948,1152.000,9336.000,29988.400,210.803
240,29347.199,7452.000,46.800,96.062,7545.600,28024.000,4009.200,183.197,1152.000,9344.000,30082.000,211.113
241,29558.400,7484.000,36.400,96.406,7603.200,28072.000,4050.800,183.696,1152.000,9376.000,30144.400,211.362
242,29606.400,7488.000,31.200,96.681,7622.400,28120.000,4024.800,184.160,1142.400,9388.000,30196.400,212.136
