timestamp,R,G,B,luminosity
00:13:28.755950,0.0,8.0,0.0,9.675
00:13:29.255981,3206.399902,848.0,5.2,9.7352
00:13:29.756072,3216.0,856.0,0.0,9.761
00:13:30.256164,3206.399902,856.0,10.4,9.718
00:13:30.756256,3206.399902,864.0,286.0,34.511799
00:13:31.256347,1814.400024,5968.0,462.799988,34.5462
00:13:31.756439,1824.0,5960.0,468.0,34.511799
00:13:32.256500,1804.800049,5940.0,468.0,34.589199
00:13:32.756561,1814.400024,5944.0,3328.0,33.617401
00:13:33.256652,153.600006,1408.0,4867.200195,33.677601
00:13:33.756744,172.800003,1416.0,4872.399902,33.6432
00:13:34.256835,134.399994,1400.0,4846.399902,33.531399
00:13:34.756958,153.600006,1424.0,1684.800049,0.0
00:13:35.257049,0.0,0.0,0.0,0.0
00:13:35.757141,0.0,0.0,0.0,0.0
00:13:36.257202,0.0,0.0,0.0,0.0
00:13:36.757293,0.0,0.0,0.0,10.1996
00:13:37.257476,3379.199951,876.0,5.2,10.1996
00:13:37.757476,3360.0,888.0,0.0,10.2082
00:13:38.257568,3360.0,880.0,0.0,10.191
00:13:38.757781,3340.800049,888.0,322.399994,35.827599
00:13:39.257751,1881.599976,6160.0,488.799988,35.8018
00:13:39.757843,1843.199951,6172.0,478.399994,35.784599
00:13:40.257995,1900.800049,6148.0,483.600006,35.819
00:13:40.758026,1862.400024,6160.0,3484.0,34.959
00:13:41.258117,163.199997,1464.0,5044.0,34.984798
00:13:41.758331,192.0,1468.0,5033.600098,34.9762
00:13:42.258300,153.600006,1472.0,5064.799805,34.993401
00:13:42.758422,172.800003,1468.0,1695.199951,0.0
00:13:43.258575,0.0,0.0,0.0,0.0
00:13:43.758514,0.0,0.0,0.0,0.0172
00:13:44.258605,0.0,0.0,0.0,0.0172
00:13:44.758789,0.0,0.0,0.0,10.6898
00:13:45.258819,3532.800049,944.0,0.0,10.6812
00:13:45.758911,3513.600098,928.0,10.4,10.6554
00:13:46.259124,3494.399902,936.0,0.0,10.6812
00:13:46.759063,3513.600098,944.0,327.600006,36.971401
00:13:47.259155,1939.199951,6360.0,499.200012,37.022999
00:13:47.759338,1920.0,6360.0,499.200012,36.9972
00:13:48.259307,1920.0,6376.0,499.200012,37.040199
00:13:48.759399,1900.800049,6344.0,3692.0,36.274799
00:13:49.259643,172.800003,1528.0,5215.600098,36.292
00:13:49.759582,211.199997,1512.0,5252.0,36.292
00:13:50.259674,172.800003,1528.0,5241.600098,36.326401
00:13:50.759887,172.800003,1520.0,1710.800049,0.0
00:13:51.259826,0.0,0.0,0.0,0.0
00:13:51.759918,0.0,0.0,0.0,0.0
00:13:52.259979,0.0,0.0,0.0,0.0
00:13:52.760070,0.0,0.0,0.0,11.0854
00:13:53.260162,3686.399902,968.0,0.0,11.0682
00:13:53.760223,3667.199951,960.0,5.2,11.1198
00:13:54.260284,3676.800049,964.0,10.4,11.1284
00:13:54.760375,3667.199951,964.0,353.600006,38.313
00:13:55.260437,1996.800049,6552.0,525.200012,38.201199
00:13:55.760528,1996.800049,6528.0,530.400024,38.209801
